,BottomDepth,BottomDepthFt,BottomDepthWeighted,BulkDensity,BulkDensityPerIncrement,BulkDensityWeighted,DepthIncrementBottom,DepthIncrementTop,ID2,Latitude,Longitude,Notes,TopDepth,TopDepthFt,TopDepthWeighted,Weight,Year
37,30.0,0.984252,0.984252,1.3500813608024498,1.3512400518022354,0.4429400931775108,1,0,13.0,46.778763999934995,-117.08249800000364,,20.0,0.6561680000000001,0.6561680000000001,0.32808399999999993,1998.0
38,48.0,1.5748032,1.0,1.4236583864428949,1.3512400518022354,0.022419772269702685,1,0,13.0,46.778763999934995,-117.08249800000364,,30.0,0.984252,0.984252,0.015747999999999984,1998.0
38,48.0,1.5748032,1.5748032,1.4236583864428949,1.4450530405916546,0.8183233962342127,2,1,13.0,46.778763999934995,-117.08249800000364,,30.0,0.984252,1.0,0.5748032000000001,1998.0
39,77.0,2.5262468,2.0,1.4739754493858892,1.4450530405916546,0.6267296443574419,2,1,13.0,46.778763999934995,-117.08249800000364,,48.0,1.5748032,1.5748032,0.42519679999999993,1998.0
39,77.0,2.5262468,2.5262468,1.4739754493858892,1.530740476343332,0.7756748635178862,3,2,13.0,46.778763999934995,-117.08249800000364,,48.0,1.5748032,2.0,0.5262468,1998.0
40,105.0,3.444882,3.0,1.59379527742598,1.530740476343332,0.7550656128254458,3,2,13.0,46.778763999934995,-117.08249800000364,,77.0,2.5262468,2.5262468,0.4737532,1998.0
40,105.0,3.444882,3.444882,1.59379527742598,1.6184238462009453,0.7090508306118252,4,3,13.0,46.778763999934995,-117.08249800000364,,77.0,2.5262468,3.0,0.4448820000000002,1998.0
41,153.0,5.0196852000000005,4.0,1.6381616441713662,1.6184238462009453,0.9093730155891201,4,3,13.0,46.778763999934995,-117.08249800000364,,105.0,3.444882,3.444882,0.5551179999999998,1998.0
41,153.0,5.0196852000000005,5.0,1.6381616441713662,1.6381616441713662,1.6381616441713662,5,4,13.0,46.778763999934995,-117.08249800000364,,105.0,3.444882,4.0,1.0,1998.0
42,10.0,0.32808400000000004,0.32808400000000004,1.2603607086596509,1.2604917249672811,0.413504182739893,1,0,15.0,46.778706999934904,-117.08124400000357,,0.0,0.0,0.0,0.32808400000000004,1998.0
43,20.0,0.6561680000000001,0.6561680000000001,1.2603607086596509,1.2604917249672811,0.413504182739893,1,0,15.0,46.778706999934904,-117.08124400000357,,10.0,0.32808400000000004,0.32808400000000004,0.32808400000000004,1998.0
44,30.0,0.984252,0.984252,1.2603607086596509,1.2604917249672811,0.4135041827398928,1,0,15.0,46.778706999934904,-117.08124400000357,,20.0,0.6561680000000001,0.6561680000000001,0.32808399999999993,1998.0
45,40.0,1.3123360000000002,1.0,1.2686802608332697,1.2604917249672811,0.01997917674760231,1,0,15.0,46.778706999934904,-117.08124400000357,,30.0,0.984252,0.984252,0.015747999999999984,1998.0
45,40.0,1.3123360000000002,1.3123360000000002,1.2686802608332697,1.3781235393969054,0.39625451794762034,2,1,15.0,46.778706999934904,-117.08124400000357,,30.0,0.984252,1.0,0.31233600000000017,1998.0
46,64.0,2.0997376,2.0,1.4278325191507557,1.3781235393969054,0.981869021449285,2,1,15.0,46.778706999934904,-117.08124400000357,,40.0,1.3123360000000002,1.3123360000000002,0.6876639999999998,1998.0
46,64.0,2.0997376,2.0997376,1.4278325191507557,1.5974716737451455,0.14240858866205056,3,2,15.0,46.778706999934904,-117.08124400000357,,40.0,1.3123360000000002,2.0,0.09973760000000009,1998.0
47,79.0,2.5918636,2.5918636,1.590817632389634,1.5974716737451455,0.7828827181573808,3,2,15.0,46.778706999934904,-117.08124400000357,,64.0,2.0997376,2.0997376,0.49212599999999984,1998.0
48,110.0,3.608924,3.0,1.6469503012368274,1.5974716737451455,0.6721803669257144,3,2,15.0,46.778706999934904,-117.08124400000357,,79.0,2.5918636,2.5918636,0.40813640000000007,1998.0
48,110.0,3.608924,3.608924,1.6469503012368274,1.6561737836623363,1.0028675652303338,4,3,15.0,46.778706999934904,-117.08124400000357,,79.0,2.5918636,3.0,0.608924,1998.0
49,153.0,5.0196852000000005,4.0,1.6705351860814843,1.6561737836623363,0.6533062184320025,4,3,15.0,46.778706999934904,-117.08124400000357,,110.0,3.608924,3.608924,0.391076,1998.0
49,153.0,5.0196852000000005,5.0,1.6705351860814843,1.6705351860814843,1.6705351860814843,5,4,15.0,46.778706999934904,-117.08124400000357,,110.0,3.608924,4.0,1.0,1998.0
50,10.0,0.32808400000000004,0.32808400000000004,1.3226097241872472,1.3325337995555395,0.4339270887502489,1,0,17.0,46.77879699993179,-117.07998999999813,,0.0,0.0,0.0,0.32808400000000004,1998.0
51,20.0,0.6561680000000001,0.6561680000000001,1.3226097241872472,1.3325337995555395,0.4339270887502489,1,0,17.0,46.77879699993179,-117.07998999999813,,10.0,0.32808400000000004,0.32808400000000004,0.32808400000000004,1998.0
52,30.0,0.984252,0.984252,1.3515977110212063,1.3325337995555395,0.44343758342268136,1,0,17.0,46.77879699993179,-117.07998999999813,,20.0,0.6561680000000001,0.6561680000000001,0.32808399999999993,1998.0
53,33.0,1.0826772,1.0,1.3488721508991837,1.3325337995555395,0.02124203863236032,1,0,17.0,46.77879699993179,-117.07998999999813,,30.0,0.984252,0.984252,0.015747999999999984,1998.0
53,33.0,1.0826772,1.0826772,1.3488721508991837,1.0744432776246926,0.11152097259432199,2,1,17.0,46.77879699993179,-117.07998999999813,,30.0,0.984252,1.0,0.0826772,1998.0
54,65.0,2.132546,2.0,1.0497093335414434,1.0744432776246926,0.9629223050303707,2,1,17.0,46.77879699993179,-117.07998999999813,,33.0,1.0826772,1.0826772,0.9173228,1998.0
54,65.0,2.132546,2.132546,1.0497093335414434,1.1727946356973815,0.1391347733235842,3,2,17.0,46.77879699993179,-117.07998999999813,,33.0,1.0826772,2.0,0.13254600000000005,1998.0
55,86.0,2.8215224,2.8215224,1.108553442039436,1.1727946356973815,0.7637671597039394,3,2,17.0,46.77879699993179,-117.07998999999813,,65.0,2.132546,2.132546,0.6889764,1998.0
56,153.0,5.0196852000000005,3.0,1.512193702009989,1.1727946356973815,0.2698927026698579,3,2,17.0,46.77879699993179,-117.07998999999813,,86.0,2.8215224,2.8215224,0.1784775999999999,1998.0
56,153.0,5.0196852000000005,4.0,1.512193702009989,1.512193702009989,1.512193702009989,4,3,17.0,46.77879699993179,-117.07998999999813,,86.0,2.8215224,3.0,1.0,1998.0
56,153.0,5.0196852000000005,5.0,1.512193702009989,1.512193702009989,1.512193702009989,5,4,17.0,46.77879699993179,-117.07998999999813,,86.0,2.8215224,4.0,1.0,1998.0
57,10.0,0.32808400000000004,0.32808400000000004,1.4705569994759666,1.5629536678082299,0.4824662226160731,1,0,19.0,46.778826619173316,-117.08846626321173,,0.0,0.0,0.0,0.32808400000000004,1998.0
58,20.0,0.6561680000000001,0.6561680000000001,1.5973997038425876,1.5629536678082299,0.5240812844354915,1,0,19.0,46.778826619173316,-117.08846626321173,,10.0,0.32808400000000004,0.32808400000000004,0.32808400000000004,1998.0
59,30.0,0.984252,0.984252,1.6224868920384543,1.5629536678082299,0.5323119894875441,1,0,19.0,46.778826619173316,-117.08846626321173,,20.0,0.6561680000000001,0.6561680000000001,0.32808399999999993,1998.0
60,48.0,1.5748032,1.0,1.5299829355550683,1.5629536678082299,0.02409417126912119,1,0,19.0,46.778826619173316,-117.08846626321173,,30.0,0.984252,0.984252,0.015747999999999984,1998.0
